iter	Passed	Remaining
0	57	5668
1	57	2811
2	57	1861
3	57	1386
4	57	1100
5	58	909
6	58	773
7	58	670
8	58	590
9	58	526
10	58	474
11	58	430
12	58	394
13	59	362
14	59	335
15	59	311
16	59	289
17	59	270
18	59	254
19	59	238
20	59	225
21	59	212
22	60	201
23	60	190
24	60	180
25	60	172
26	60	163
27	60	156
28	60	148
29	60	142
30	61	135
31	61	129
32	61	124
33	61	119
34	61	114
35	61	109
36	61	105
37	61	100
38	62	96
39	62	93
40	62	89
41	62	86
42	62	82
43	62	79
44	62	76
45	62	73
46	62	71
47	63	68
48	63	65
49	63	63
50	63	60
51	63	58
52	63	56
53	63	54
54	63	52
55	64	50
56	64	48
57	64	46
58	64	44
59	64	43
60	64	41
61	64	39
62	64	38
63	64	36
64	65	35
65	65	33
66	65	32
67	65	30
68	65	29
69	65	28
70	65	26
71	65	25
72	65	24
73	66	23
74	66	22
75	66	20
76	66	19
77	66	18
78	66	17
79	66	16
80	66	15
81	67	14
82	67	13
83	67	12
84	67	11
85	67	10
86	67	10
87	67	9
88	67	8
89	67	7
90	68	6
91	68	5
92	68	5
93	68	4
94	68	3
95	68	2
96	68	2
97	68	1
98	68	0
99	68	0
